X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Full context,Created,Title,Sphere,Medium
кто,neg,осилит,осилить,perf,futr,sing,,,,,,"Уж кто не осилит, тому смерть",1935,В. В. Чернавин. «Записки «вредителя»» (1935),публицистика | нехудожественная,книга
печки,neg,осиливают,осиливать,impf,pres,plur,холода,NOUN,sing,inan,gent,Печки и те не осиливают холода,1935,И. П. Чистяков. Дневник (1935),бытовая | нехудожественная,книга
явление,pos,осилило,осилить,perf,past,sing,здоровье,NOUN,sing,inan,accs,"Это новое явление, сложившись со всеми прежними, осилило здоровье Чагатаева, и он впал в беспамятство, спасая свою душу",1935,А. П. Платонов. Джан (1933-1935),художественная,книга
твердые духом,pos,осилят,осилить,perf,futr,plur,"его, кризис",NPRO,sing,inan,accs,"Весь мир вопиет сейчас, переживая неслыханный материальный кризис, являющийся следствием полного духовного растления, лишь твердые духом осилят его",1935,Е. И. Рерих. Письма в Европу (1931-1935),публицистика | нехудожественная,книга
страх,pos,осиливает,осиливать,impf,pres,sing,,,,,,Но в конце концов осиливает страх смерти,1935,В. Ф. Ходасевич. Об Анненском (1935),публицистика | нехудожественная,книга
фантазия,neg,осилит,осилить,perf,futr,sing,веревочку,NOUN,sing,inan,accs,"Въ концѣ концовъ она вѣроятно не удержится и, вѣря въ мою невинность и желая спасти меня, разболтаетъ о трагедіи моего брата, что будетъ впрочемъ совершенно зря, такъ какъ безъ особаго труда можно установить, что никакого брата у меня никогда не было, -- а что касается самоубійства, то врядъ ли фантазія полиціи осилитъ пресловутую веревочку",1936,В. В. Набоков. Отчаяние (1936),художественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,всего нужного,ADJF,,,gent,В две жизни и то всего нужного не осилишь,1936,Б. А. Лавренев. Комендант Пушкин (1936),художественная,книга
он,pos,осилил,осилить,perf,past,sing,словари,NOUN,plur,inan,accs,"Он эти словари -- счетом не менее пятнадцати -- осилил, и с ними души пятнадцати народов в сокровищницу русской речи -- включил",1936,М. И. Цветаева. Слово о Бальмонте (1936),публицистика | нехудожественная,книга
приятели Москвы,pos,осилили,осилить,perf,past,plur,язык,NOUN,sing,inan,accs,"В большинстве своем это уже старые приятели Москвы и почти все они осилили российский язык в степени, достаточной для того, чтобы в обыденной жизни обходиться без переводчика",1937,Т. В. Солоневич. Записки советской переводчицы (1937),публицистика | нехудожественная,книга
холопи,pos,осилили,осилить,perf,past,plur,меня,NPRO,sing,anim,accs,"Мы остоялись в выморочной избе, а холопи, кои в поезду были -- нынче они бежали с тюремщиками, -- осилили меня и изнасильничали",1937,А. П. Чапыгин. Гулящие люди (1937),художественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,,,,,,"Раму, конечное дело, пока оставить придется: не осилишь, я говорю",1937,С. Д. Мстиславский. Грач ― птица весенняя (1937),художественная,книга
я,neg,осилила,осилить,perf,past,sing,искушения,NOUN,sing,inan,gent,"До пота молилась я тогда и не осилила искушения, не спасла молитва: неведомая сила бесовская понесла меня к нему",1937,А. П. Чапыгин. Гулящие люди (1937),художественная,книга
сон,pos,осилил,осилить,perf,past,sing,меня,NPRO,sing,anim,accs,"Я хотел было послушать эти рассказы, но сон против моей воли осилил меня",1937,В. К. Арсеньев. В горах Сихотэ-Алиня (1937),художественная,книга
я,pos,осилил,осилить,perf,past,sing,избу,NOUN,sing,inan,accs,"Я, Николай Филатыч, с гвоздя, с пустого места избу себе осилил, и я не то еще могу раздуть",1938,А. Г. Малышкин. Люди из захолустья (1938),художественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,,,,,,"Эта задача сложнее, пожалуй, не осилишь, -- заметил я, вставая, чтобы вместе с Малолетковой и с Вьюнцовым идти на сцену",1938,К. С. Станиславский. Работа актера над собой (1938),учебно-научная | нехудожественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,кусков,NOUN,plur,inan,gent,"Шпондя воспользовался этим назидательным примером и говорит: «Запомните, что сразу не осилишь огромных кусков",1938,К. С. Станиславский. Работа актера над собой (1938),учебно-научная | нехудожественная,книга
вы,pos,осилили,осилить,perf,past,plur,"его, этюд",NPRO,sing,inan,accs,"Не беда, -- успокоил меня Аркадий Николаевич, -- я дал вам этот этюд совсем не для того, чтобы вы его непременно осилили, а для того, чтобы вы лучше поняли на трудной задаче то, чего вам недостает и чему надо учиться",1938,К. С. Станиславский. Работа актера над собой (1938),учебно-научная | нехудожественная,книга
сын,pos,осилил,осилить,perf,past,sing,отца,NOUN,sing,anim,accs,"Сын был первым, кто осилил отца, -- второй была революция",1938,Б. А. Пильняк. Волга впадает в Каспийское море (1938),художественная,книга
вы,neg,осилили,осилить,perf,past,plur,,,,,,"Я не спорюсь, Вася, ты за коммунизм стоишь, только все вы с винтов соскочили, не осилили, сумасшедшие вы",1938,Б. А. Пильняк. Волга впадает в Каспийское море (1938),художественная,книга
девчонка,pos,осилила,осилить,perf,past,sing,повелительницу,NOUN,sing,anim,accs,"Неужели хилая девчонка осилила могущественную Гингему, повелительницу жевунов",1939,А. М. Волков. Волшебник Изумрудного города (1939),художественная,книга
[я],neg,осилю,осилить,perf,futr,sing,того,ADJF,,,,Неуж и того не осилю?» Распилила Катя камешок,1939,П. П. Бажов. Горный мастер (1939),художественная,книга
завод,neg,осилит,осилить,perf,futr,sing,расходов,NOUN,plur,inan,gent,Совершенно неприемлемо последнее требование -- завод не осилит сейчас больших расходов на перестройку домен,1939,"Иван Александров, Глеб Григорьев. Курако (1939)",художественная,книга
я,neg,осилю,осилить,perf,futr,sing,его,NPRO,sing,anim,accs,"Mon general, я никогда его не осилю",1939,П. Н. Краснов. Ложь (1938-1939),художественная,книга
слабость,pos,осилила,осилить,perf,past,sing,,,,,,"Долго смотрел в сторону, хотел что-то сказать, но слабость осилила -- задремал",1940,М. А. Шолохов. Тихий Дон. Книга вторая (1928-1940),художественная,книга
разум,pos,осилил,осилить,perf,past,sing,,,,,,Природная жадность чуть не погубила его: хотел заехать на квартиру за оставленной полстью; но разум осилил -- повернул в сторону,1940,М. А. Шолохов. Тихий Дон. Книга третья (1928-1940),художественная,книга
негодование,pos,осиливало,осиливать,impf,past,sing,"его, Краснова",NOUN,sing,anim,accs,Только благодаря выдержке и присущей ему светскости Краснов хранил внешнее спокойствие; но негодование все же осиливало: под седеющими усами нервный тик подергивал и искажал рот,1940,М. А. Шолохов. Тихий Дон. Книга третья (1928-1940),художественная,книга
кадеты,neg,осилют,осилить,perf,futr,plur,,,,,,"Думаешь, не осилют кадеты",1940,М. А. Шолохов. Тихий Дон. Книга третья (1928-1940),художественная,книга
чувство,pos,осилило,осилить,perf,past,sing,,,,,,"Но чувство порядочности осилило -- решил по приезде поговорить и, если представится возможность, расстаться",1940,М. А. Шолохов. Тихий Дон. Книга третья (1928-1940),художественная,книга
,pos,осилило,осилить,perf,past,sing,,,,,,"Подточило, изломало, осилило и уносит",1940,Л. А. Авилова. А. П. Чехов в моей жизни (1910-1940),публицистика | нехудожественная,книга
кто,pos,осилит,осилить,perf,futr,sing,,,,,,Кто осилит,1940,Г. С. Эфрон. Дневники. Т. 1. 1940 (1940),публицистика | нехудожественная,книга
жизнь,pos,осиливает,осиливать,impf,pres,sing,,,,,,"И жизнь мчится, как река, и тоже подтачивает, ломает, осиливает и уносит",1940,Л. А. Авилова. А. П. Чехов в моей жизни (1910-1940),публицистика | нехудожественная,книга
жизнь,pos,осилила,осилить,perf,past,sing,,,,,,"После тридцати осилила, изломала жизнь",1940,Л. А. Авилова. А. П. Чехов в моей жизни (1910-1940),публицистика | нехудожественная,книга
старики,pos,осилили,осилить,perf,past,plur,Куйву,NOUN,sing,anim,accs,"Только вот красные капли саамской крови остались на тундрах, всех их не соберешь, много их пролили наши старики, пока Куйву осилили",1940,А. Е. Ферсман. Воспоминания о камне (1940),публицистика | нехудожественная,книга
хмель,neg,осилил,осилить,perf,past,sing,"его, Григория",NOUN,sing,anim,accs,"Григорий чувствовал, что пьянеет, но хмель еще не осилил его; смеясь, он ответил",1940,М. А. Шолохов. Тихий Дон. Книга четвёртая (1928-1940),художественная,книга
седина,pos,осилила,осилить,perf,past,sing,цвет,NOUN,sing,inan,accs,"Раньше времени высветлила седина лисью рыжевень коршуновской бороды, перекинулась на виски и поселилась там, вначале -- как сибирек на супеси -- пучками, а потом осилила рыжий цвет и стала на висках полновластной соленая седина; и уже тесня, отнимая по волоску, владела надлобьем",1940,М. А. Шолохов. Тихий Дон. Книга третья (1928-1940),художественная,книга
,pos,осилю,осилить,perf,futr,sing,,,,,,"Осилю -- так, не осилю -- погибну",1941,М. М. Пришвин. Дружба (1941),художественная,книга
,pos,осилю,осилить,perf,futr,sing,,,,,,"Осилю -- так, не осилю -- погибну",1941,М. М. Пришвин. Дружба (1941),художественная,книга
человек,pos,осилит,осилить,perf,futr,sing,полпуда каши,NOUN,sing,anim,accs,"Этим летом один фельдшер рассказывал, что в махновской армии много нервных, -- с виду человек здоров, полпуда каши осилит, а нервы у него, как кошачьи кишки на скрипке",1941,А. Н. Толстой. Хождение по мукам/ Книга третья. Хмурое утро (1941),художественная,книга
человек,pos,осилил,осилить,perf,past,sing,тебя,NPRO,sing,anim,accs,"И всплыл в памяти дед, как-то раз сказавший: «Если лихой человек, беспощадный, тебя осилил, вдарь его ногой в причинное место",1941,С. Н. Сергеев-Ценский. В снегах (1941),художественная,книга
англичане,neg,осилят,осилить,perf,futr,plur,фронт,NOUN,sing,inan,accs,"2-й фронт во Франции англичане сейчас не осилят, в СССР войска могут послать, но немного",1941,И. М. Майский. Дневник (1941),бытовая | нехудожественная,книга
[он],pos,осиливает,осиливать,impf,pres,sing,геометрию,NOUN,sing,inan,accs,"На столе -- чертежи, осиливает аналитическую геометрию",1942,Л. К. Бронтман. Дневники и письма (1932-1942),публицистика | нехудожественная,книга
кто,pos,осилит,осилить,perf,futr,sing,"его, Докунина",NOUN,sing,anim,accs,"Ну, а Докукин, кто же его осилит",1942,Аверичева С. П. Дневник (1942),бытовая,электронный текст
человек,pos,осилил,осилить,perf,past,sing,многое,NPRO,,,accs,"Русский человек много перестрадал, многое вынес, многое осилил",1943,Н. К. Рерих. Листы дневника (1943),бытовая,книга
я,pos,осилил,осилить,perf,past,sing,грамматику,NOUN,sing,inan,accs,"Грамматику, наконец, я осилил и почти совсем не делаю ошибок",1944,А. С. Новиков-Прибой. Капитан первого ранга (1936-1944),художественная,книга
"наши, [люди]",pos,осилят,осилить,perf,futr,plur,неприятеля,NOUN,sing,anim,accs,"Наши ли осилят неприятеля, или ему удастся устоять на нашей земле",1944,Б. Л. Горбатов. Солдаты идут на запад (1944),публицистика | нехудожественная,книга
все,neg,осилят,осилить,perf,futr,plur,,,,,,"И все-то притомились, не заступают принять хоругь, боятся -- не осилят",1944,И. С. Шмелев. Лето Господне (1927-1944),художественная,книга
мы,pos,осилим,осилить,perf,futr,plur,"ее, зиму",NPRO,sing,inan,accs,"Еще нет ни одного полена дров; зима будет трудной; даже не вполне уверен, осилим ли ее",1944,Н. Н. Пунин. Дневник. 1944 год (1944),публицистика | нехудожественная,книга
,pos,осилим,осилить,perf,futr,plur,,,,,,"Думаете, осилим",1945,Б. Л. Пастернак. Доктор Живаго (1945-1955),художественная,книга
мы,neg,осилим,осилить,perf,futr,plur,работу,NOUN,sing,inan,accs,"Неужели мы не осилим ту работу, которую выполняют для нас эти детишки?» Он стал прикидывать: если бы каждый санитарный поезд в военное время силами своего личного состава осуществлял текущий ремонт -- какая это была бы крупная и действенная помощь транспорту",1945,В. Ф. Панова. Спутники (1945),художественная,книга
[мы],neg,осилим,осилить,perf,futr,plur,Оренбург,NOUN,sing,inan,accs,"Ежели Оренбург вскорости не осилим, так зимовать туды подадимся: там и жительство обширное, и съестного для армии хватит",1945,В. Я. Шишков. Емельян Пугачев. Книга вторая. Ч. 1-2 (1939-1945),художественная,книга
Пугачев,pos,осилил,осилить,perf,past,sing,кое-что,NPRO,,,accs,"Пугачёв, хотя и с большим трудом, все-таки осилил кое-что из напечатанного, сказал Давилину",1945,В. Я. Шишков. Емельян Пугачев. Книга вторая. Ч. 1-2 (1939-1945),художественная,книга
мы,neg,осилим,осилить,perf,futr,plur,беду,NOUN,sing,inan,accs,Неужто вдвоем мы не осилим твою беду,1945,К. А. Федин. Первые радости (1943-1945),художественная,книга
злодеи,pos,осилили,осилить,perf,past,plur,царя-батюшку,NOUN,sing,anim,accs,"Царя-батюшку злодеи осилили там, с малым войском в горы батюшка ушел, а мы по домам вот разбредаемся",1945,В. Я. Шишков. Емельян Пугачев. Книга третья. Ч. 1 (1934-1945),художественная,книга
сон,pos,осилил,осилить,perf,past,sing,казака,NOUN,sing,anim,accs,"Что он терзался тем, что не уберег Андрия; ведь он видел его ночью с женщиной, да сон осилил старого казака, и, казня сына, он и себя карал за свой промах",1945,"И. А. Желобовский. Беседы о классиках // «Вожатый», 1945",учебно-научная | нехудожественная,журнал
я,pos,осилю,осилить,perf,futr,sing,это,PRCL,,,,"Как я это все осилю, как и где буду питаться",1945,Л. В. Шапорина. Дневник. Том 1 (1898-1945),публицистика | нехудожественная,книга
я,pos,осилю,осилить,perf,futr,sing,это,PRCL,,,,Но осилю ли я это,1945,Л. В. Шапорина. Дневник. Том 1 (1898-1945),публицистика | нехудожественная,книга
[я],pos,осилил,осилить,perf,past,sing,разговор,NOUN,sing,inan,accs,"К тому же и турецкий разговор кой-как осилил, научился неплохо лопотать по-ихнему",1945,В. Я. Шишков. Емельян Пугачев. Книга третья. Ч. 1 (1934-1945),художественная,книга
сброд,pos,осилит,осилить,perf,futr,sing,его,NPRO,sing,anim,accs,Неужто этот сброд осилит его,1945,В. Я. Шишков. Емельян Пугачев. Книга третья. Ч. 1 (1934-1945),художественная,книга
,pos,осилят,осилить,perf,futr,,,,,,,"Вдвоем осилят, не так уж и сложно",1946,Виктор Некрасов. В окопах Сталинграда (1946),художественная,книга
журналисты,neg,осилят,осилить,perf,futr,plur,"их, книги",NPRO,plur,inan,accs,"Де Лара прислал книги для отзыва, но они по-испански, и вряд ли здешние журналы осилят их",1946,Н. К. Рерих. Листы дневника (1946),бытовая,книга
Пифагоры,neg,осилили,осилить,perf,past,plur,,,,,,"Пифагоры» взялись за решение, но не осилили",1947,А. И. Деникин. Путь русского офицера (1944-1947),публицистика | нехудожественная,книга
,pos,осилим,осилить,perf,futr,plur,,,,,,"Ничего, осилим, -- улыбнулся Степа",1948,А. И. Мусатов. Стожары (1948),художественная,художественная
,neg,осилят,осилить,perf,futr,plur,,,,,,"Подтолкнуть, что ли, а то не осилят",1948,Ф. В. Гладков. Повесть о детстве (1948),художественная,книга
[я],neg,осиливаю,осиливать,impf,pres,sing,подготовку,NOUN,sing,inan,accs,"К лекциям уже подготовку не осиливаю и сегодня объявил им, что читать не буду, только занятия текстом остаются",1948,Александр Болдырев. Осадная запись (блокадный дневник) (1941-1948),бытовая | нехудожественная,книга
я,pos,осиливаю,осиливать,impf,pres,sing,сотни,NOUN,plur,inan,accs,"Для этого я одолеваю тысячу японских слов, осиливаю сотни причудливых начертаний иероглифов",1948,С. М. Эйзенштейн. Как я стал режиссером (1940-1948),публицистика | нехудожественная,книга
они,pos,осилят,осилить,perf,futr,plur,дело,NOUN,sing,inan,accs,"Колхозницы заговорили о Старой Пустоши -- осилят ли они такое дело без мужиков, хватит ли у них пахарей, тягла",1948,А. И. Мусатов. Стожары (1948),художественная,книга
мы,pos,осилим,осилить,perf,futr,plur,их,NPRO,sing,anim,accs,Разве мы одни их осилим,1948,Г. М. Марков. Строговы. Кн. 2 (1936-1948),художественная,книга
я,neg,осилю,осилить,perf,futr,sing,пахотную,ADJF,,,accs,"А я, бай, Митрий Митрич, не осилю пахотную-то: несходно мне -- исполу да два дня тебе работать",1948,Ф. В. Гладков. Повесть о детстве (1948),художественная,книга
кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,gent,Две группы тянули канат каждая на себя: кто кого осилит,1948,Д. Н. Медведев. Сильные духом (Это было под Ровно) (1948),публицистика | нехудожественная,книга
[мы],pos,осилим,осилить,perf,futr,plur,построить,INFN,,,,"Поскольку осилим построить -- кто скажет, что недостойны? -- возразил Алмазов",1949,В. Ф. Панова. Ясный берег (1949),художественная,книга
[я],neg,осилил,осилить,perf,past,sing,поступить,INFN,,,,"Не могу не бояться всего и не могу освобождать себя от ответственности, но не осилил поступить иначе",1950,Т. Л. Сухотина-Толстая. О смерти моего отца и об отдаленных причинах его ухода (1910-1950),публицистика | нехудожественная,книга
мы,pos,осиливали,осиливать,impf,past,plur,ступень,NOUN,sing,inan,accs,"Мы осиливали ступень за ступенью довольно крутую, особенно для женских ног, лестницу, а он медленно, не торопясь, шел и медленно, не торопясь, говорил, не скупясь на время, словно Шехеразада, у которой впереди целая ночь",1951,М. С. Шагинян. Дневник (1951),бытовая | нехудожественная,книга
разум,pos,осилит,осилить,perf,futr,sing,чувство,NOUN,sing,inan,accs,"Я уверен, что когда увижу всю тщету любовных усилий, разум осилит чувство",1951,Р. Г. Назиров. Дневниковые записи (1951),бытовая | нехудожественная,прочая печатная продукция
богомолец,neg,осилил,осилить,perf,past,sing,путь,NOUN,sing,inan,accs,"Сам квелый, богомолец -- на Соловки собрался, да путь длинный, не осилил",1952,Ю. П. Герман. Россия молодая. Часть первая (1952),художественная,книга
ты,pos,осилишь,осилить,perf,futr,sing,всех,ADJF,,,,"Друзиана, не отрывая глаз, любовалась, — ты будешь из всех рыцарей отличен, ты всех осилишь, ты мой единственный",1952,А. М. Ремизов. Бова-королевич (1952),художественная,книга
мы,pos,осиливаем,осиливать,impf,pres,plur,солдат,NOUN,sing,anim,accs,"Мы осиливаем солдат: без палки, без дисциплины они соглашаются идти умирать с остатками развеянного чувства о родной стороне",1952,Р. Б. Гуль. Конь рыжий (1952),художественная,книга
,,,,,,,,,,,,"Вечером, наконец, осилил «Тихий д Дон",1953,О. В. Амитров. Дневник (1953),бытовая | нехудожественная,электронное издание
[я],pos,осилил,осилить,perf,past,sing,«Тихий Дон,NOUN,sing,inan,accs,"Вечером, наконец, осилил «Тихий Дон",1953,О. В. Амитров. Дневник (1953),бытовая | нехудожественная,электронное издание
папаша,neg,осилил,осилить,perf,past,sing,,,,,,"А вам, товарищ американец, я, вот, водчёнки налью, тут, вот, рябки жареные, я их сейчас подогрею, вот рыба всякая, вчера ели-ели, а даже и папаша-то мой и тот не осилил",1953,И. Л. Солоневич. Две силы (1953),публицистика | нехудожественная | художественная,книга
он,pos,осилил,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,"Когда он увидел меня, губы его задрожали, но он осилил себя, улыбнулся и даже встал",1953,Н. С. Покровская. Дневник русской женщины. 1945--1966 гг. (1953),бытовая | нехудожественная,книга
энергии,pos,осилят,осилить,perf,futr,plur,энергий,NOUN,plur,inan,gent,"Если нечто пресекло путь и остановило восхождение и оказалось сильнее, энергии огненные напрягаются в своей силе, пока не перерастут и не осилят энергий противных",1953,Б. Н. Абрамов. Грани Агни Йоги (1953),бытовая | нехудожественная,книга
[я],pos,осилил,осилить,perf,past,sing,страниц тридцать,NUMR,,,accs,"Теперь осилил только страниц 30 -- нестерпимо -- так пошло и бездарно, несмотря на все притворство автора быть «художником",1953,И. А. Бунин. Дневники (1940-1953),публицистика | нехудожественная,книга
мысль,pos,осилила,осилить,perf,past,sing,мысль,NOUN,sing,inan,accs,Кого-то осилила мысль -- в небольшом проходном зале поставить модель памятника русско-турецкой войне,1953,А. А. Игнатьев. Пятьдесят лет в строю. Кн. 1-2 (1947-1953),публицистика | нехудожественная,книга
ты,neg,осилишь,осилить,perf,futr,sing,всех троих,NOUN,,,,"Ты -- к ним залез, всех троих не осилишь",1954,Владимир Тендряков. Не ко двору (1954),художественная,книга
[он],pos,осилил,осилить,perf,past,sing,задачу,NOUN,sing,inan,accs,"Долго ломал голову, но осилил все же задачу",1956,"В. Семинский. Моя профессия // «Юный Техник», 1956 № 02, 1956",публицистика | нехудожественная,журнал
[он],pos,осилит,осилить,perf,futr,sing,порцию,NOUN,sing,inan,accs,Двойную порцию вмиг осилит,1956,И. Ф. Стаднюк. Максим Перепелица (1956),художественная,книга
Миронова,neg,осилил,осилить,perf,past,sing,ее,NPRO,sing,,accs,"Да, пожалуй, никто даже из самых настойчивых писателей ее бы не осилил потому, что выпытать у Миронова что-либо о нем самом было невозможно",1958,К. Г. Паустовский. Повесть о жизни. Время больших ожиданий (1958),художественная,книга
,pos,осилим,осилить,perf,futr,,,,,,,"Мы женщины мужние, семейные, и дети у нас не твоя мелкота, и то не знаем, как осилим",1959,Г. Е. Николаева. Битва в пути (1959),художественная,книга
я,pos,осиливал,осиливать,impf,past,sing,доску,NOUN,sing,inan,accs,"Сейчас я разглядел, что ступеньки высокие, и штурмом осиливал каждую доску",1959,А. В. Кузнецов. Продолжение легенды. Записки молодого человека (1959),художественная,книга
он,pos,осилит,осилить,perf,futr,sing,что,CONJ,,,,"Пусть он работает в колхозе по силе возможности, тяжелой работы мы ему давать не будем, что́ осилит, то пусть и делает",1959,М. А. Шолохов. Поднятая целина. Книга 2 (1959),художественная,книга
он,pos,осилил,осилить,perf,past,sing,,,,,,"Без крика, напрасного в такой пустыне, она кусала ему лицо и руки, он осилил",1959,Л. М. Леонов. Вор. Части 1-2 (1927|1959),художественная,книга
он,pos,осилили,осилить,perf,past,plur,три дюжинки,NUMR,,inan,accs,"Так, с друзьями даве, под пиво, три дюжинки осилили",1959,Л. М. Леонов. Вор. Части 1-2 (1927|1959),художественная,книга
,pos,осилят,осилить,perf,futr,plur,,,,,,"Не один, так другой, не в центре, так на фланге, не в первый час боя, так во второй, а добьются, перехитрят и уж там всей громадой сломают, осилят",1960,"Василий Гроссман. Жизнь и судьба, ч. 1 (1960)",художественная,книга
злой волшебник,pos,осилит,осилить,perf,futr,sing,доброго,NOUN,sing,,gent,"Ему, как ребенку, казалось, что в мире есть два волшебника -- добрый и злой, и он все боялся, что злой волшебник снова осилит доброго, и сытый, теплый, добрый мир исчезнет, и он опять будет мять зубами кусок своего поясного ремня",1960,"Василий Гроссман. Жизнь и судьба, часть 2 (1960)",художественная,книга
они,pos,осилят,осилить,perf,futr,plur,врага,NOUN,sing,anim,gent,"Новиков чувствовал, что они добьются своего -- осилят, перехитрят, переиграют в бою врага",1960,"Василий Гроссман. Жизнь и судьба, ч. 1 (1960)",художественная,книга
мы,pos,осилили,осилить,perf,past,plur,,,,,,"Да, уж дал он нам, а все-таки мы осилили",1960,"Василий Гроссман. Жизнь и судьба, часть 3 (1960)",художественная,книга
мы,pos,осилим,осилить,perf,futr,plur,вас,NPRO,plur,anim,accs,Не в союзе с Иконниковым и Чернецовым мы осилим вас,1960,"Василий Гроссман. Жизнь и судьба, часть 2 (1960)",художественная,книга
[мы],neg,осилили,осилить,perf,past,plur,пути,NOUN,sing,inan,gent,Дальше стены пути не осилили,1960,Б. В. Шергин. Данило и Ненила (1930-1960),художественная,книга
кучер,pos,осилит,осилить,perf,futr,sing,это,PRCL,,,,Это и мой кучер осилит,1960,Б. В. Шергин. Данило и Ненила (1930-1960),художественная,книга
мы,pos,осилим,осилить,perf,futr,plur,,,,,,И мы осилим,1960,"Василий Гроссман. Жизнь и судьба, ч. 1 (1960)",художественная,книга
Мономах,neg,осилит,осилить,perf,futr,sing,его,NPRO,sing,anim,,"Видно, Мономах понял, что не осилит его, и написал это жалобное письмо",1960,А. П. Ладинский. Последний путь Владимира Мономаха (1960),художественная,книга
тоска,pos,осилила,осилить,perf,past,sing,"его, Даренского",NOUN,sing,anim,,"Проехав сотни километров по степи, Даренский почувствовал, как тоска осилила его",1960,"Василий Гроссман. Жизнь и судьба, ч. 1 (1960)",художественная,книга
мы,pos,осилили,осилить,perf,past,plur,холм,NOUN,sing,inan,accs,"Пыхтя и задыхаясь, мы осилили холм",1961,"Ник. Кружков. Вернувшись из Румынии // «Огонек», 1961",публицистика,журнал
я,neg,осилю,осилить,perf,futr,sing,,,,,,"Я боюсь, что без тебя не осилю, фосфору не хватит",1962,Даниил Гранин. Иду на грозу (1962),художественная,книга
я,neg,осилю,осилить,perf,futr,sing,,,,,,Но один опять-таки я не осилю,1962,Н. Н. Козаков. Дневник (1962),бытовая | нехудожественная,электронное издание
[я],pos,осилю,осилить,perf,futr,sing,,,,,,"Не бойтесь, держитесь крепче, осилю",1962,Л. Р. Кабо. Повесть о Борисе Беклешове (1962),художественная,книга
он,pos,осилит,осилить,perf,futr,sing,это,PRCL,,,,"Зайдите в институт к Песецкому, передайте письмецо, может, он осилит это уравнение",1962,Даниил Гранин. Иду на грозу (1962),художественная,книга
[я],neg,осилю,осилить,perf,futr,sing,дневник,NOUN,sing,inan,accs,"Да и мне уже пора домой, а то дневник не осилю",1962,Н. Н. Козаков. Дневник (1962),бытовая | нехудожественная,электронное издание
голод,pos,осилил,осилить,perf,past,sing,человека,NOUN,sing,anim,gent,"И раз человека голод осилил, его не подымешь, и не только оттого, что сил нет, -- нет ему интереса, жить не хочет",1963,"Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989",художественная,журнал
"[она], [я]",pos,осилила,осилить,perf,past,sing,,,,,,"А вот всё же осилила, выдюжила",1963,А. И. Мусатов. Зелёный шум (1963),художественная,книга
"[она], [я]",neg,осилила,осилить,perf,past,sing,пирожок,NOUN,sing,inan,accs,"Второй пирожок не осилила, сунула в сумку",1963,З. С. Лелянова. Дневник (1963),бытовая | нехудожественная,книга
,neg,осилила,осилить,perf,past,sing,,,,,,Не осилила,1964,А. Н. Арбузов. Мой бедный Марат (1964-1980),художественная,книга
никто,neg,осилил,осилить,perf,past,sing,,,,,,Даже в полярную ночь никто не осилил,1964,Василий Песков. Белые сны (1964),публицистика | нехудожественная,книга
,pos,осилил,осилить,perf,past,sing,,,,,,"Долго не выплясывалось, но так-таки осилил",1965,Владимир Тендряков. Находка (1965),художественная,книга
,neg,осилил,осилить,perf,past,sing,,,,,,Хотел преодолеть -- не осилил,1965,В. Ф. Панова. Конспект романа (1965),художественная,книга
она,neg,осилила,осилить,perf,past,sing,неизвестности,NOUN,sing,inan,gent,"Она не осилила неизвестности, высунулась из-под колонны и срывающимся голосом, как при беде, крикнула",1965,Константин Воробьев. Друг мой Момич (1965),художественная,книга
он,neg,осилил,осилить,perf,past,sing,купить,INFN,,,,Не осилил он сразу купить огород,1965,Е. А. Есенина. В Константинове (1957-1965),публицистика | нехудожественная,книга
я,neg,осилил,осилить,perf,past,sing,слов,NOUN,plur,inan,gent,"И я не одолел своего восторга и немого предчувствия тех незримых перемен, что должны были, как я думал, наступить в моей жизни; не перенес торжественного голоса Дудкина, себя, отпечатанного в его глазах, не осилил колдовски завораживающих слов клятвы",1965,Константин Воробьев. Друг мой Момич (1965),художественная,книга
левая жизнь,pos,осилила,осилить,perf,past,sing,правую,ADJF,sing,,accs,"Везде, кроме нашего острова (а может быть и других мест, нам еще неизвестных), «левая» жизнь осилила «правую",1966,"Ю. Васильев. Топливные элементы // «Химия и жизнь», 1966",учебно-научная | нехудожественная,журнал
функционализм,pos,осилил,осилить,perf,past,sing,ее,NPRO,sing,inan,accs,"Архитектура двинулась было в сторону неоклассицизма (в России, неоампира), но ее быстро осилил инженерно-технический функционализм, оторвавший ее от живописи и скульптуры, которые стали cтремляться — сквозь кубизм или минуя его — к беспредметности (отказу от изображения",1966,"В. Вейдле. Искусство при советской власти (1966) // Мосты. Сб. статей к 50-летию русской революции, 1967",публицистика | нехудожественная,журнал
он,pos,осилит,осилить,perf,futr,sing,волка,NOUN,sing,anim,accs,Он волка осилит,1966,Николай Дубов. Небо с овчинку (1966),художественная,книга
