username,date,polarity,semi_neg,Y,Meaning,tweet,center,tense
Lily00PR,2023-04-18 19:04:29,pos,,1/4,2.1,"наконец-то с малым сели собирать мозабрик, который я купила маме на др еще в ноябре 2021 😂  пока осилили 1/4  https://t.co/yunyapuayy",осилили,past
VinnetuGS,2023-04-18 16:28:59,neg,,мост,2.1,"@badideaguyjohn1 @jeff_kaye я родился в нем. я понимаю,что сейчас ты мне начнешь лепить,что это все украинцы построили,но это будет тупой пиздеж. украинцы с 1991 сами даже мост через днепр в киеве не осилили",осилили,past
savitsky_yan,2023-04-18 06:27:12,pos,только,инглиш,3,"@vas3k создатели нейронок: мы создали нейросети, которые в совершенстве умеют в синтаксис человеческой речи, вы можете просто писать запросы и получать ответы! тоже создатели нейронок: мы осилили только инглиш, и вообще, учите птичий язык запросов, который мы и сами пока не знаем…",осилили,past
denzelll,2023-04-18 01:18:54,pos,,,,"встречаемых в дубайске, проблемы во всех областях поставок. все в 3-4 раза дороже и в 3-4 раза медленнее из-за необходимости удлинять цепочки поставок из-за санкций. официально ни один поставщик в россию ничего не продаст. конец душного треда один, спасибо если осилили )",осилили,past
stJLennon,2023-04-18 00:46:37,neg,,,,"@iamlerun когда заказывали не ожидали такого подвоха. немного попробовали но не осилили.  из еды самое ржачное было свиной пятачок и уши. под пивко идёт, только в путь ещё, много лет покушался и наконец-то заказал жареного голубя. понравилось  у тебя какие гастрономические открытия?",осилили,past
dernierevague__,2023-04-17 19:48:04,neg,,чизкейк,4,"также завтракаю чизкейком сан себастьян (гости второй чизкейк не осилили), ливинг ма бест лайф",осилили,past
AndreyFromRussi,2023-04-17 18:20:11,neg,,которую,2.1,"а помните как в 2010 году путин ездил на жёлтой калине? почему -то все решили, что он рекламировал автоваз. а на деле он опробовал свежепостроенную трассу чита-хабаровск, которую за 20 лет до него комуняди и либерали не осилили. что тогда писали светлоликие, правильные русские?  https://t.co/xuiygypep6",осилили,past
Blackfox7_new,2023-04-17 13:18:53,neg,,забор,2.1,"@blacbes @kissthecaptain а те, кого сразу схватили и увезли недостаточно вырывались, видимо? виноваты, что в окно туалета не пролезают и забор не осилили?",осилили,past
Wolk_Lupus2,2023-04-17 11:46:02,neg,,,,"@lancier1812 интересно,а  где сара билс русский язык выучила на уровне, чтоб не палиться?!! тут мовнюки 30 лет учили и не осилили, вечно палятся..",осилили,past
Chudesnov,2023-04-17 02:34:48,neg,,сделать,2.1,"@neboyarsky мы пока не осилили так сделать для всех любимых ресторанов, но вот лучшую шавуху на районе уже не в вольте/дамейидле заказываем а напрямую со  https://t.co/vebqhc352m",осилили,past
MaNuL_info,2023-04-16 21:33:48,neg,,посмотреть,3,"@co3hahie @hmilvika @dw_russian ""ввп разных недоорганизаций""  вы явно не осилили посмотреть список стран брикс ))))  ну тогда дискуссия с вами смысла не имеет, вы идиот",осилили,past
Tola28259887,2023-04-16 20:48:34,neg,,,,"@lydia_ua @ka_vasilevs якщо ви не осилили, то ... то раніше лікарем вам не бути. але добра новина-зараз можна. ця ж новина для пацієнтів є поганою.",осилили,past
DeadMorose13,2023-04-16 20:39:07,pos,,медицину,3,"@femyninja @sugort91 язык из околонулевого за два года в языковой среде превратится в уровень носителя. вы осилили медицину, немецкий вас уж точно не победит.",осилили,past
NeverMo83536099,2023-04-16 11:44:16,pos,,его,3,"путь был слишком долог, но они его осилили! абсолютная защита готова! смотрим и наслаждаемся surviving the aftermath – rebirth прохождение на русском  https://t.co/96bfuvydnm  #survivingtheaftermath #rebirth #сурвайвингзеафтерматч #nevermore",осилили,past
leni_flowers,2023-04-15 20:13:31,pos,,,,"@akapassion @isamai12 дык там в основном на английском все, как бы они осилили",осилили,past
AyziEther,2023-04-15 18:48:11,neg,,любовь,3,"@desert_fox_ver2 не осилили братскую любовь в последних двух сериях🏳️‍🌈🏳️‍🌈🏳️‍🌈  (не фан дубляжа, но будет обидно, если не до озвучат.)",осилили,past
sergikomkov,2023-04-15 18:45:29,pos,,азбуку,3,"@prof_preobr @bessudnoff в отличие от вас)  азбуку то осилили, но ума этого не добавило",осилили,past
mrWhite2806,2023-04-15 18:16:59,pos,,,,"шановне панство, а накидайде, будь ласка, щось із чтива, яке осилили останнім часом, або щось з улюбленого всім подякував 🤝",осилили,past
Moxorama,2023-04-15 18:14:48,pos,только dev,публиковать,3,@oioioi10888 git flow хорош когда можно через ci/cd  еще делать сборку / публиковать каждую ветку.   может они осилили только dev публиковать и смотреть это все негде.,осилили,past
fido_node,2023-04-15 16:45:04,neg,,start,3,"@tapokshot @apiyron @anber_dev пиздец, хипстеры start не осилили и придумали что-то еще более простое.",осилили,past
EdGev8,2023-04-15 16:14:43,neg,,предложение,3,"@dandroid26_ @uselessmouth @manfightdragon ладно тупые пиндосские геймеры, не осилили предложение с 4+ словами, но ты то...",осилили,past
___bystander__,2023-04-15 12:19:56,pos,,,,"@tamaraeidelman судя по комментам, не все осилили :)  а и правильно, зачем читать дальше заголовка, так и поумнеть недолго!",осилили,past
gutsoutninja,2023-04-15 08:45:09,neg,,историю,3,"юные нодовцы-путиноиды и прочие zиганутые, которые дочитали до ""8 лет"", но не осилили историю украинского сепаратизма и цепь событий в экономике рф с 90-х до 2012, так и не смогли объяснить, зачем это всё и круглосуточный пиздёж, если на стороне царя правда и ""миролюбие"".",осилили,past
tricoxygen,2023-04-15 00:38:21,neg,,оформить,3,"@msk01 @_holymilk_ @kiselimba столько лбов не осилили даже нормальным юридическим языком это оформить, вау. у полиции сейчас есть все средства и даже больше. статьи по которым можно наказать за насилие - тоже. дальше вижу только демагогию и ""иди учи матчасть""(которая у каждого блогера по теме своя)",осилили,past
AndreyFromRussi,2023-04-14 21:34:30,neg,,штурма,2.1,"@dobry_vechir @kolnookov ты про всу, девушка? пока вы 8 лет донецк осаждали, необученный и неэкипированный сброд брал многомиллионные города.вы до сих пор ни одного серьезного штурма не осилили",осилили,past
Convoker,2023-04-13 18:40:22,neg,,,,"@abtom3xahuk ну с основным освещением вроде норм. было бы круто чтоб адаптивное, холодное утром а вечером тёплое, но что-то не осилили.",осилили,past
krasno_solnze,2023-04-13 08:33:37,neg,,спектакль,3,"итак, я переспала со своими мыслями и всё ещё в некотором замешательстве от того, что люди, которые не осилили спектакль до конца, вставляют свои пять копеек. ты буквально послала нахуй труд актёров, работающих над спектаклем, что ты вообще можешь говорить?",осилили,past
@dronkoff,"Apr 18, 2023 · 9:42 PM UTC",neg,,,,"А что за сервис? 
Я чот пока так и ниасилил. Обычно возвращается ощутимо больше, чем платишь бухгалтеру, это как-то слабо мотивирует заморачиваться. :)",ниасилил,past
@newselfdestruct,"Apr 17, 2023 · 6:36 PM UTC",neg,,,,"совпадение!? думаю, да!
ЗЫ. один раз слушал ентот ""план Б"", где они начали доказывать, что РФ ну никак не может называться империалистом, ибо ""финансового капитала у нас по сути нет, банки просто бухгалтерия""(Васильев, видать у них этот тезис попятил). дальше ниасилил))",ниасилил,past
@DrPilulker,"Apr 17, 2023 · 10:10 AM UTC",neg,,,,"Ололло! 
Ньюфаг - ниасилил. 
По более чем полностью синему тексту-же! Десу.",ниасилил,past
@list_fil_,"Apr 16, 2023 · 7:21 PM UTC",neg,,,,ниасилил,ниасилил,past
@JuliaVKR,"Apr 16, 2023 · 7:11 PM UTC",neg,,многабукв,3,"Многабукав ниасилил. Но, каждый имеет право на собственное мнение",ниасилил,past
@MrChpoks,"Apr 16, 2023 · 2:51 PM UTC",neg,,,,Ох уж эти простыни под синей галочкой) Ниасилил,ниасилил,past
@ElNekrofil,"Apr 15, 2023 · 11:05 PM UTC",neg,,,,"""Ниасилил""(С)....",ниасилил,past
@artanotevildo,"Apr 15, 2023 · 7:20 PM UTC",neg,,,,"Тайны Дамблдора унылый фильм, ниасилил",ниасилил,past
@Wernon78,"Apr 20, 2023 · 2:21 PM UTC",neg,,,,"Ниасилила... Но честно, наверное никто особо и не ждал. Все же такой табун двигателей заставить работать с первого раза - это было бы чудо.",ниасилила,past
@mo672045,"Apr 16, 2023 · 1:18 PM UTC",neg,,фильм,3,"Моё увожение, конечно. Вчерашний твой фильм ниасилила, хотя люблю Джереми Айронса.",ниасилила,past
@kitebegl,"Apr 20, 2023 · 1:27 PM UTC",pos,,ответственность,2.1,И эту коллективную ответственность осилим!,осилим,fut
@Polychka,"Apr 19, 2023 · 6:13 AM UTC",pos,,хоббита,3,"Читаю сыну на ночь краткий пересказ Властелина Колец. Ему нравится. Может, Хоббита осилим через пару лет.",осилим,fut
@okertanov,"Apr 18, 2023 · 6:47 PM UTC",pos,вряд ли,,2.1,"30+30+18+18=100гр в день. Аккурат за 30 дней 3кг :) 
Но думаю вряд ли сами осилим.",осилим,fut
@lex_too,"Apr 17, 2023 · 9:19 PM UTC",pos,,его,2.1,"ДА БОЖЕ МОЙ 😭
мы как нибудь его осилим я уверенна 🫂

( когда я услышала что его надо будет сделать ещё и в 3д, я чуть там не откинулась 😭)",осилим,fut
@nikmccaren,"Apr 15, 2023 · 10:07 AM UTC",pos,,несколько сотен,2.1,"Так точно, но как маленькая частная некоммерческая организация мы просто не можем мыслить тысячами членов. Пока речь идет о десятках. Дай бог, через пару лет мы осилим несколько сотен!",осилим,fut
@dwarfsoul,"Apr 13, 2023 · 10:08 PM UTC",pos,,остальное,2.1,"""Только бы на ножках стоять, остальное помаленьку осилим""",осилим,fut
@Xuco_Moon,"Apr 20, 2023 · 8:05 PM UTC",neg,,,,"три часа ночи я все ещё в подвешенном состоянии у меня стучит сердце так громко я вроде успокоилась но отдышаться все ещё не могу
не хочу видеть сегодня сны если вообще усну
надеюсь в сеть не выложат ничего с похорон я правда не выдержу я просто не осилю если увижу это",осилю,fut
@belous_ai,"Apr 20, 2023 · 7:58 PM UTC",pos,не уверена,всех уиков,3,"Я не знала что мне это нужно, но кажется нужно, хотя я не уверена что осилю всех Уиков.)",осилю,fut
@MalfLily,"Apr 20, 2023 · 7:33 PM UTC",pos,не понимаю,,,"Расскажи, пожалуйста, как впечатления потом?
Очень хочется посмотреть, но меня любые шутки про политику сейчас сильно триггерят, и не понимаю, осилю ли. Хотя, зная Даню, подозреваю, что буквально весь концерт такой будет)",осилю,fut
@derschallstrom,"Apr 20, 2023 · 6:42 PM UTC",pos,,тренировку,2.1,"Приезжает с работы почти в 20-30, вымотанная: тренировку осилю только один круг.

Спустя 20 минут: всё еще сидит работает дома.

Делает тренировку в два круга. 

Я: буквально Винс Макмэхн из мема",осилю,fut
@whoismorgoth,"Apr 20, 2023 · 6:03 PM UTC",pos,,до конца 1 сезона,3,Но мне смотреть пока еще вполне интересно. До конца 1 сезона я точно осилю :),осилю,fut
@MaNuL_info,"Apr 20, 2023 · 5:34 PM UTC",pos,,,,"Осилю не волнуйся)))  жаль статья на которую ссылается вики не в публичном доступе, но думаю найду. Ну или ты ссылку дашь ты же читал да, или по вики изучал? )))

Ну и по самой вике интересный оборот ""на завершающем этапе обороны начали появляться"" )))",осилю,fut
@peacherryeo,"Apr 20, 2023 · 5:01 PM UTC",pos,,посмотреть,3,я думаю я всё же осилю посмотреть сам эпизод сегодня… это хорошо отвлекает,осилю,fut
@Rina_Karpova,"Apr 20, 2023 · 3:31 PM UTC",neg,,отсидеть,2.1,"Я очень рада за тех, у кого 37 - не повод помирать. Я с 37,1 уже еле функционирую от головокружения  и отсидеть 2-3 часа в поликлинике не осилю",осилю,fut
@meowsanmark,"Apr 20, 2023 · 2:19 PM UTC",pos,,аушку,3,"Я никогда не думала, что правда осилю аушку, в которой один из персонажей буквально животное. Но я выкатила аушку от лица кота, так что я все равно горжусь собой",осилю,fut
@pid987,"Apr 20, 2023 · 1:47 PM UTC",pos,,хуету,3,там скин бесплатный на тф сижу думаю осилю ли я этв хуету чтобы егг получить 😭,осилю,fut
@Mishyakovskii,"Apr 20, 2023 · 10:07 AM UTC",pos,,,,"Хорошо, я осилю….",осилю,fut
@Ravio64,"Apr 19, 2023 · 9:09 PM UTC",pos,,их,3,"Пока не, наверное.. У меня там есть немного книг, пока их осилю",осилю,fut
@undefd_,"Apr 19, 2023 · 7:49 PM UTC",neg,,пласт,3,"Награды за всякие квесты. 
Почему это прикольно? 
- это дает четкую цель, четкие временные рамки, а не ""вооот это огромный пласт информации, я не осилю((((""
- в плане все расписано что, где, откуда брать, а добавив в него механику квестов и заправив все сюжетом получается",осилю,fut
@joy_lovers_club,"Apr 19, 2023 · 6:56 PM UTC",neg,,столько,4,"Я столько за раз не осилю, пожалей мой желудок 🥹",осилю,fut
@ggJgPIz76r5IZbK,"Apr 19, 2023 · 4:33 PM UTC",neg,,бюджет,2.2,Боюсь не осилю бюджет,осилю,fut
@mamaMneStraszno,"Apr 19, 2023 · 1:40 PM UTC",neg,,скинуть,2.1,у меня 700+ любимых песен сори я не осилю всё это скинуть...,осилю,fut
@kliotida,"Apr 19, 2023 · 12:58 PM UTC",neg,,интервью,3,"Сила твитора, помоги найти работу! Ищу должность DevOps инженера в компании, которая платит в валюте( не в рублях), но русскоязычная. Я могу понимать инглиш, но тех. интервью на нем точно не осилю 
Линкедин: linkedin.com/in/zelanastasia…",осилю,fut
@mamamswq,"Apr 19, 2023 · 12:06 PM UTC",pos,,прочтение,3,"Если я осилю прочтение Апулея «Метаморфозы или Золотой Осел», то, видимо, смогу не сдавать ЕГЭ, ведь преисполнюсь до такой степени, что жесть",осилю,fut
@dariaposs,"Apr 19, 2023 · 10:30 AM UTC",pos,,марафон,2.1,"Оказывается, что через две недели после московского полумарафона (который я капельку сомневаюсь, что осилю, но лишь капельку) будет казанский, и он сразу после казанского концерта Сироткина... Потяну ли я такой уик-энд...",осилю,fut
@matthewsnowl1,"Apr 19, 2023 · 10:20 AM UTC",pos,не уверена,замену,2.2,"Да, такая нужна, но пока брать не буду - не уверена что осилю финансово даже замену термопасты. В этом месяце прям полная пиздень.",осилю,fut
@onemoretwiuser,"Apr 18, 2023 · 8:02 PM UTC",neg,,столько,2.1,"Я решила для себя что столько я все равно не осилю (пыталась, ага), поэтому лучше одно-два средства регулярно, чем 5 но раз в неделю",осилю,fut
@vs_polia,"Apr 18, 2023 · 6:12 PM UTC",pos,,основы,3,"конечно я буду преподавать только основы, а на высокие уровни буду рекомендовать преподавателей с высокими уровнями, но основы испанского-то я осилю..",осилю,fut
@diana_okay,"Apr 18, 2023 · 5:18 PM UTC",pos,,сколько,2.1,"Как выглядит твой слак, когда ты руководишь операционкой в 5 больших регионах 🫣

А я ведь читаю их весь день, отвечаю, но снижается с трудом… 
Поделюсь тем, сколько осилю к конце рабочего дня🥺",осилю,fut
@Mintimerka,"Apr 18, 2023 · 4:40 PM UTC",neg,,,,"Мне кажется, я не осилю)",осилю,fut
@zlata_a_a_,"Apr 18, 2023 · 4:27 PM UTC",pos,,страхи,1.2,"о, может и я когда то осилю свои социальные страхи 
а то у меня в принципе ассоцияация, что в тренажорке нет детей/подростков, а только взрослые",осилю,fut
@Degos36174004,"Apr 18, 2023 · 3:29 PM UTC",neg,,много,2.1,"Выслать тебе немного валежника, Коль? Много не осилю, пару веточек смогу.",осилю,fut
@myliveevil,"Apr 18, 2023 · 3:22 PM UTC",pos,,половину,2.1,"буду заедать своё горе джин раменом подаренным @roxanneauswaks, включу ран 42, 84, 131 и 132 и стримить mikrokosmos. 

как итог будут: слезы, смех и истерика одновременно, может ещё всё таки осилю вторую половину прошлогодней фесты(",осилю,fut
@fahrradsettel,"Apr 18, 2023 · 12:12 PM UTC",pos,,сколько,3,хаха физичка говорит мне сделать столько номеров сколько я осилю веря что я хочу и буду их осиливать хахаха смешная,осилю,fut
@flower_of_evil7,"Apr 18, 2023 · 10:24 AM UTC",neg,,,,"Кажется, я не осилю",осилю,fut
@zolotayazmejka,"Apr 18, 2023 · 8:40 AM UTC",neg,,промывание,2.1,"Сопли усилились, жалуется что болит ухо когда сморкается..бля
Пойду в аптеку искать ингалятор.. бо промывание носа я не осилю ..",осилю,fut
@Dennica598697,"Apr 18, 2023 · 7:32 AM UTC",pos,только,лунную сонату,3,"Ну, нажал лунную сонату, ибо из предложенного только это осилю😁",осилю,fut
@Lin_the_duck,"Apr 18, 2023 · 5:13 AM UTC",neg,,,,"Если ты про свое главное отп, то я не осилю, сорри",осилю,fut
@lychulka,"Apr 18, 2023 · 3:07 AM UTC",neg,,работу,2.1,"Ужасно боюсь, что сегодня не справлюсь, не справлюсь в принципе и не осилю работу
Хочется быть просто нормисом без проблем с адаптацией и желанием общаться с людьми",осилю,fut
@ladkashokoladk,"Apr 18, 2023 · 2:18 AM UTC",pos,может,3,3,"День прошёл охуенно,на втором моторе даже смогла рассмотреть их эмоции и лица.Была на двух, пока что хватит,может 3 осилю в следующий раз.Сейчас я возвращаюсь обратно в свое болото и нужно теперь придумывать ради чего вставать каждый день,ведь до этого были истории🙃 Доброго утра",осилю,fut
@Tamara_Deyk,"Apr 17, 2023 · 9:48 PM UTC",pos,вряд ли,,,Ну круто)) я вряд ли осилю. Вот микроволновку я тут умудрилась сама починить. Лампочка перегорела в ней. я ее разобрала. лампочку купила и поменяла. Не самое простое дело. Но вот краковскую (равно как и любую другую) колбасу вряд ли сделать смогла бы...,осилю,fut
@dravenory,"Apr 17, 2023 · 9:06 PM UTC",pos,наверное,сезон,3,У меня тру детектив уже второй не пошёл. Но я вроде серии до 4 или 5 в этот раз дошла. Ещё через пару лет наверное осилю первый сезон хд,осилю,fut
@lightless_twt,"Apr 17, 2023 · 6:37 PM UTC",pos,,овощ,4,"а, еще могу вынести листья салата и свежие огурцы
и при этом родители не особо потакали моим привычкам, просто приходилось вручную убирать неподходящие ингредиенты
каждый раз думаю, что вот сейчас я точно осилю какой-нибудь овощ, но всегда становится дурно",осилю,fut
@Alex_WackRaven,"Apr 17, 2023 · 5:50 PM UTC",pos,ли,поиск,2.1,"Наконец купила машинку новую
Думала сейчас как пошью
Чижу думаю, осилю ли я поиск тканей",осилю,fut
@granacci_,"Apr 17, 2023 · 5:17 PM UTC",neg,,амер.психопата,3,"Американского психопата отложила, не осилю. Зато влегкую заходит Тошнота Сартра.",осилю,fut
@thvhwarang,"Apr 17, 2023 · 7:56 AM UTC",neg,,все,2.1,"опять меня посещает идея написать большую работу типо фанфика и ведь даже на удивление из идея для мини аушки которую я хотела написать родился целый сюжет... я просто не осилю всё это, начну вникать в правила написания, изучать всю теорию и заглохну на полпути, знаем, проходили",осилю,fut
@nevarkir,"Apr 17, 2023 · 1:05 AM UTC",neg,,соулслайк,2.1,"Зельду итак играю, но там атмосфера не та
Геншин из той же оперы
А в стратегии и в пошаговые сейчас не охота
Соулслайк не осилю
Во второй Ведьмак тоже не тянет

Может обливион, но графон больно старый",осилю,fut
@Bukija,"Apr 17, 2023 · 12:09 AM UTC",pos,,которую,2.1,"Зависит от игры, чаще на максимальной, death stranding на максимальной - несложный, а вот какой нибудь jedi falen order сложный. Вобщем, на максимально возможной, которую я осилю",осилю,fut
@allthatremainse,"Apr 16, 2023 · 10:39 PM UTC",pos,или,,,"А тип сейчас его нет? хд
Вообще, я думаю после освоения диджа попробовать нарисить колоду таро по магистру (даже список примерный составила), но хз, осилю или нет хд",осилю,fut
@latidalove,"Apr 16, 2023 · 9:44 PM UTC",neg,,сезон,3,"я думаю что не осилю весь 6 сезон пацанок но надо посмотреть хотя бы финал 
хочу полюбоваться на Крис",осилю,fut
@thvhwarang,"Apr 16, 2023 · 8:31 PM UTC",pos,,количество текста,3,"типо они знакомы сутки, но автор пишет ""он _всегда_ был таким"". как всегда то...

короче говоря для меня минусы там есть, некоторые существенные, но читать можно, надеюсь я осилю такое количество текста... это треш но вроде должно быть интересно в дальнейшем :)",осилю,fut
@lazybumhorizon,"Apr 16, 2023 · 7:37 PM UTC",pos,едва ли,Bringer of Chaos,2.1,"Настроение – погриндить челлендж в XC2. Но гриндить неохота (¬_¬ ). Вроде по блейдам и шмоткам у меня все ± файн, но Bringer of Chaos едва ли осилю.",осилю,fut
@crocozui,"Apr 16, 2023 · 6:45 PM UTC",neg,,такое,3,"Я в таком предвкушении от того, как вкусно поем завтра да и вообще на протяжении всего княшкофеста. Потому что знаю, как много тут талантливых секси мозг людей. Сама я такое не осилю, да и предложить мне особо нечего, но, думаю, в некоторые из дней могу что-нибудь выкинуть в тему",осилю,fut
@_grymzik,"Apr 16, 2023 · 4:12 PM UTC",pos,,написать,2.1,когда у меня еще не отвалилась жопа и я думал что осилю написать историю и нарисовать по ней что-нибудь задумка была в том что пейзажи изначально нормальные но по ходу истории становятся все более и более сюрреальными,осилю,fut
@Ann__Carter,"Apr 16, 2023 · 1:35 PM UTC",pos,,все остальное,2.1,"Знаете, в те моменты, когда я теряю уверенность в своих возможностях, я вспоминаю, что жила в мире без Чонгука ЦЕЛЫХ полтора месяца(с 10 июля по 1 сентября 1997 года😄)! Если я справилась с этим этапом своей жизни, то и все остальное осилю😄",осилю,fut
@un_diem,"Apr 15, 2023 · 10:36 PM UTC",pos,,,,"вопрос я осилю в оригинале или придется все-таки русский дубляж смотреть
если не осилю то это прям будет бобо самооценке",осилю,fut
@Sonylik,"Apr 14, 2023 · 9:30 PM UTC",neg,,,,А есть какой-то яд специальный? А то я тапком не осилю,осилю,fut
@ffigvamcherti,"Apr 14, 2023 · 8:39 PM UTC",neg,,,,"Вот смотрела их в инете,чёт мне кажется,не осилю,сложно больно",осилю,fut
@lady_de_bug,"Apr 14, 2023 · 7:46 PM UTC",pos,,испытательный,2.1,"я пока тут! если осилю испытательный, слезливого от соприкосновения с Приморской обещаю больше",осилю,fut
@the_old_shrike,"Apr 14, 2023 · 7:26 PM UTC",pos,,,,"Он казался в свое время хорошим, но сейчас прямо не уверен, что осилю",осилю,fut
@sofyaiginova,"Apr 14, 2023 · 3:33 PM UTC",pos,,4 аккорда,3,"Ну если потеряю, то и похуй как бы :)) запишу, если осилю 4 аккорда :)",осилю,fut
@krispikcrazy,"Apr 14, 2023 · 3:12 PM UTC",pos,,10 км,2.1,"Вот и как отказать? 10 км я конечно осилю, но придется готовиться чтобы не опозориться и войти во временные рамки. Вызов самому себе самый тяжелый 😅",осилю,fut
@_mayllii,"Apr 14, 2023 · 10:31 AM UTC",pos,,25,2.1,"Я 25 максимум осилю.
Сейчас в меня уже 21,что все равно много для меня.
Я постараюсь конечно быть у всех более менее активной.",осилю,fut
@CaroBraun5,"Apr 13, 2023 · 11:46 PM UTC",neg,,,,Я столько не осилю😂,осилю,fut
@chudovysko,"Apr 13, 2023 · 9:20 PM UTC",neg,,изобразить,2.1,"я ненамеренно, но выделяю гарри тем, что ради него готова стать сама в позу лишь бы нарисовать ВОТ ТАК а тома я рисую по заданому мемов рефу похуй и так пойдет потому что я всё равно коулсоном тебя опять не осилю изобразить блядь",осилю,fut
@petit_ghost,"Apr 13, 2023 · 7:48 PM UTC",neg,,,,"Я хотела на утреннюю треню в 730, но теперь явно не осилю",осилю,fut
@tbilisoid,"Apr 13, 2023 · 7:27 PM UTC",pos,с грехом пополам,вторую,3,Я третью прям не буду читать. Вторую мож осилю с грехом пополам.,осилю,fut
@meow_kona,"Apr 13, 2023 · 10:48 AM UTC",neg,,100% локаций,2.1,"у меня, увы, не бывает такого, чтобы было настолько много времени) за условные два часа в день я не осилю 100% локаций. Потому не могу оставлять локации незакрытыми, мне потом неделю-две надо будет, чтобы все сделать. А от спидрана получаю мало удовольствия, вот и)",осилю,fut
@tvoi_mordor_2,"Apr 13, 2023 · 8:19 AM UTC",pos,,,,"Я не планировала 😆 к 3му сезону пересмотрю всё, если осилю",осилю,fut
@blacksmithVakul,"Apr 20, 2023 · 10:12 PM UTC",pos,,дорогу,2.1,Дорогу осилит идущий,осилит,fut
@velann15,"Apr 20, 2023 · 7:01 PM UTC",pos,,дорогу,2.1,"Не хочется писать банальные фразы, но ведь так и есть дорого осилит идущий!!! А Маск, с его целеустремленностью  точно сможет!!! Уж жду следующих испытаний!!! Это все так интересно!!! Жить в такое время!!!",осилит,fut
@PacifistDigital,"Apr 20, 2023 · 5:44 PM UTC",pos,,,2.1,"Это тех кого на Дольче Веле советовал некий журналист... За 40тыс. Всё меняется, и все уже всё понимают по рф...  Осилит идущий... Ничего не советую. Сами всё знаете и чувствуете...",осилит,fut
@PeterPetersenxx,"Apr 20, 2023 · 5:41 PM UTC",pos,,,,"Сноуден обвинял США в слежке за своими гражданами. Теперь сидит в стране котороя не только за ними осилит, но ещё их всех прав и свободы мнения решает…. И молчит…",осилит,fut
@ad_newey,"Apr 20, 2023 · 4:19 PM UTC",pos,,дорогу,2.1,"В любом случае Маск молодец. Дорогу осилит идущий (или не осилит...)
Союз прекратил программу Энергии и сверхтяжелого Вулкана (Геркулеса), хотя Энергия сделала 2 успешных старта.",осилит,fut
@calvrack,"Apr 20, 2023 · 3:43 PM UTC",pos,,дорогу,2.1,Так уже неплохо. Дорогу осилит идущий.,осилит,fut
@putenxuilo,"Apr 20, 2023 · 3:14 PM UTC",pos,,дорогу,2.1,"это как раз у россии не будет ни Марса ни чего другого а у них будет и скоро ..-""Дорогу осилит идущий ""... кстати  о подобном исходе говорили сами создатели ракеты .. так что это как раз и хорошо все будет учтено, ибо там совершенно новая концепция двигателя !",осилит,fut
@TusikRitusik,"Apr 20, 2023 · 1:21 PM UTC",pos,,дорогу,2.1,"Лучше медленно и систематически худеть. Так что, дорогу осилит идущий! Главное, спокойно продолжать дальше.",осилит,fut
@NecroSchuns,"Apr 20, 2023 · 1:20 PM UTC",neg,,вырастить,2.1,"Само деревце у меня сейчас сантиметров 20-25 в высоту, но оно ещё совсем тоненькое и вырастить плоды не осилит. А гугл говорит, что плоды могут быть 3-6 см в диаметре в зависимости от сорта =З",осилит,fut
@GestaltKristina,"Apr 20, 2023 · 12:13 PM UTC",neg,,бездорожье,2.1,"""Тут всё слишком сложно, это бездорожье не осилит даже внедорожник""",осилит,fut
@igorbuga,"Apr 20, 2023 · 5:51 AM UTC",pos,,дорогу,2.1,Дорогу осилит идущий ! Удачи Сергей !,осилит,fut
@SeksualusisX,"Apr 20, 2023 · 12:02 AM UTC",pos,,,,"Возомнились хозяевами мира. А кто Берлин, Париж будет брать? Осилит-ли жопка?",осилит,fut
@Pjatak,"Apr 19, 2023 · 9:03 PM UTC",pos,,,,"Существо, не знаю как тебя зовут, я дал исчерпывающий ответ на поставленный вопрос. Как мог так и дал. И даже узнал судьбу данного забора, причину его установки и примерную дату его демонтажа. Ну сия барышня этого ответа не получит, пусть сама поковыряется, если осилит.",осилит,fut
@Mertvyj_kotenok,"Apr 19, 2023 · 3:39 PM UTC",pos,,дорогу,2.1,"♪♪Дорогу осилит идущий
Он справится и без меня♪♪",осилит,fut
@Asobolika,"Apr 19, 2023 · 2:19 PM UTC",pos,,,,"Я думаю контрольный вопрос для ИИ «Х@й будешь?» если осилит, то уровень развития приемлем для дальнейшего постижения всей глубины вселенной 😌😁",осилит,fut
@LittIe_vampire,"Apr 19, 2023 · 1:45 PM UTC",neg,,танцевать,2.1,Ибо сейчас танцевать по 5 часов мое тело не осилит,осилит,fut
@SergeyDragoev,"Apr 19, 2023 · 7:23 AM UTC",pos,,дорогу,2.1,"""Интересно, какого размера должна быть бомба чтобы подорвать объект инфраструктуры?"" - главное не размер - а место - ""идущий всегда дорогу осилит""",осилит,fut
@EllieNoise2,"Apr 19, 2023 · 6:22 AM UTC",pos,,дорогу,2.1,"А как же ""дорогу осилит идущий "")))",осилит,fut
@serhi07,"Apr 18, 2023 · 7:12 PM UTC",pos,,дорогу,2.1,дорогу осилит идущий 😊,осилит,fut
@sonnatora,"Apr 18, 2023 · 6:44 PM UTC",pos,,это все,3,"А часть этих штучек уже тут была, но в сканах выглядит лучше :)

Вот и конец треда, спасибо за внимание,, если кто-то осилит это всё 

13/13",осилит,fut
